G,realm_1,stage_en,factorial_en,grid_desc,input_1,process_1,output_1,kpi_id,metric_name,target_value,method,category,factorial_cs,factorial_2,factorial_3,factorial_4,factorial_5,factorial_6,factorial_7,factorial_8,factorial_9,factorial_10,factorial_11,factorial_12,factorial_13
desc,Realm,Stage,Factorial,,💎energy: a*10^B⋮3,advance (yr),Longevity,,(KPI) Metric Name,KPI Target,KPI Method,,CS Concept,2^5 Bit+x[0/1],Training layer,Training,Physical,Acupoints,Insert Fix Way,Cultivation Meaning & Philosophical Logic Refutation,Sword Logic & Execution,Array Formation,Rune,Disclosure,Pure Essence
z,Void,Spirit Awakening,Origin Gathering,,0,0,100,,,,,,Null,00000x,Opening the Gate,Heat Suppression,Dantian,Qihai (Sea of Qi),Void Rise Root,Finding the starting point of origin from nothingness. Only from void can the root arise.,"Sword Intent's origin, formless, just a block of ""primitive ore.""",Script Initiation,Thoughtless,Origin,Unoriginated Untainted
0,Ordinary,Qi Leading,Meridian Opening,,1,0.1,100,,,,,,BIOS,00001x,Opening the Gate,Steel Line,Meridians,Dazhui (Great Vertebra),Silent Strike Light,"Stillness initiates, the light of the true spirit shines. From silence, radiance is born.",Activating spiritual power into the blade. The first signal establishing man-object connection.,Script Initiation,Intent Initiation,First Glimpse,Void Original Mind
1,Lower,Qi Refining,Breath Returning,,"1,000",1,150,,,,,,Syntax,00010x,Form Cultivation,Lung Cleansing,Alveoli,Zhongfu (Central Mansion),Maze Aim Mark,"Escaping delusion to define form, etching basic spirit marks. Once delusion ends, patterns appear.","Learning footwork and strikes with correct syntax. One ""bit"" off, the technique breaks.",Method Refining,Basic Script,Single Thought,Silent Strike True Light
2,Lower,Qi Refining,Body Tempering,,"3,000",2,200,,,,,,Variable,00011x,Form Cultivation,Flesh Renewal,Muscle Tissue,Tianshu (Celestial Pivot),Mix Part Body,Sorting distracted thoughts to shape the containing spirit body. Clear division leads to a pure form.,"Allocating spiritual power to techniques. Modifying sword qi's length, weight, and density.",Method Refining,Spirit Incantation,Resonance,Universal Body Compassion
3,Lower,Qi Refining,Heart Pulsing,,"10,000",3,300,,,,,,Loops,00100x,Form Cultivation,Heart Fortification,Heart Rate,Shanzhong (Chest Center),Chaos Shift Fate,"Reincarnation rotates, grasping the command of operation. Correct movement creates true fate.",Operating sword moves in an endless loop. Continuous attack pulse (Combo).,Method Refining,Meridian Line,Heart Speech,Luminous Speech Wisdom
4,Lower,Foundation Establish,Bone Forging,,"100,000",5,500,,,,,,Memory,00101x,Inner Realm,Iron Frame,Skeleton,Dazhu (Great Shuttle),Stagnant Grasp Store,"Dispelling impurities, subduing spiritual energy into the storehouse. When stagnation ends, the vault prospers.","Etching the sword's sensation into the marrow (Cache). Never forgetting the ""flavor"" of a strike.",Form Definition,Static Point,Deep Intent,Resolution Sequence
5,Lower,Foundation Establish,Viscera Refining,,"300,000",8,800,,,,,,Logic,00110x,Inner Realm,Visceral Purge,Liver,Zhangmen (Chapter Gate),Doubt Decide Sever,"Doubts are dissolved, decisiveness at every pass. Without doubt, the mind becomes resolute.",Analyzing opponent's openings (If/Else). Deciding the moment for a fatal blow.,Form Definition,Array Diagram,Guardian,Ironclad Mind Guard
6,Lower,Foundation Establish,Aperture Opening,,"1,000,000",12,"1,200",,,,,,I/O,00111x,Inner Realm,Aperture Exchange,Nine Orifices,Zhongwan (Central Venter),Close Flow Stream,"Breaking blockages to clear the flow between inner and outer. When closed, apertures must be opened.",Interfacing sword qi with the environment. Absorbing world energy to output ultimate moves.,Form Definition,Spirit Awakening,Interconnection,Suffering Salvation Path
7,Lower,Golden Core,Essence Condensation,,"10,000,000",25,"3,000",,,,,,Object,01000x,Creation,Heavy Star,Essence Core,Guanyuan (Origin Pass),Lone Join Image,"Escaping solitude to unify with all things and phenomena. When loneliness ends, myriad forms emerge.","Encapsulating all cultivation into a specific ""Life-Bound Sword.""",Current Adjustment,Talisman Charm,Compassion,Unified Spirit Altar
8,Lower,Golden Core,Blood Core,,"30,000,000",40,"5,000",,,,,,Inherit,01001x,Creation,Crimson Blood,Plasma,Geshu (Diaphragm Shu),Absolute Plan System,Severing mortal roots to inherit ancestral bloodlines. Connecting the pulse stabilizes the system.,"Inheriting essence from predecessors, integrating ancient swordsmanship libraries.",Current Adjustment,Array Guardian,Commitment,Heavenly Mandate Inheritance
9,Lower,Golden Core,Intent Governance,,"100,000,000",60,"10,000",,,,,,Thread,01010x,Creation,Divine Power,Limbs,Huantiao (Jumping Circle),Scatter Change Avatar,Splitting the mind to manifest myriad paths of action. Gathering scattered energy enables avatars.,Multi-threading. One person controlling ten thousand swords simultaneously.,Current Adjustment,Extreme Point,Shadow Manifestation,Myriad Body Manifestation
10,Middle,Nascent Soul,Embryonic Mutation,,"1,000,000,000",150,"50,000",,,,,,Virtual,01011x,Heaven Connect,Embryo Transformation,Womb,Zhongji (Central Pole),FALSE Morph Realm,"Using the false to cultivate the true, morphing illusory mini-realms. Borrowing falsehood to transform worlds.",Creating a sword realm space (Sandbox). Opponents falling in are besieged by illusions.,Wondrous Realm,Spirit Eye,Tranquil Realm,Illusion Realm Trial
11,Middle,Nascent Soul,True Wheel,,"3,000,000,000",200,"100,000",,,,,,Cloud,01100x,Heaven Connect,Cycle Fluid,Endocrine,Mingmen (Gate of Life),Trapped Vast Heaven,"No longer stranded, expanding the treasury to the high heavens. Escaping entrapment to reach the sky.","Sword intent no longer stays in the blade but scatters through space, deployed remotely.",Wondrous Realm,Heavenly Net,Great Love,Vast Process Salvation
12,Middle,Nascent Soul,Pillar Entry,,"10,000,000,000",300,"250,000",,,,,,Server,01101x,Heaven Connect,Dragon Pillar,Spinal Axis,Shenzhu (Body Pillar),Sole Gather Throne,"No longer solitary, gathering fortune at the spiritual throne. Ending isolation to assemble at the seat.","Becoming a coordination server, mastering all sword arrays within a thousand miles.",Wondrous Realm,Barrier,Homefront,Spirit Throne Convergence
13,Middle,Soul Transformation,Dharma Seal,,"100,000,000,000",600,"500,000",,,,,,Access,01110x,Root Transformation,Spirit Eye,Pupil,Jingming (Bright Eyes),Pure Limit Seal,"Preventing intrusion, establishing seals of power. Restraining violations through authority seals.",Supreme access rights. Able to seal or unlock the power of any sword.,Authority Control,Palm Seal,Covenant,True Law Ordinance
