G,realm_1,stage_1,factorial_1,grid_desc,input_1,process_1,output_1,kpi_id,metric_name,target_value,method,category,factorial_2,factorial_3,factorial_4,factorial_5,realm_2,stage_2,input_2,input_3,output_2
header,Science,Stage,Physics,Physics & Systems Explanation,data: a*10^B???3,,,,,,,,,,,,,,,,
z,VOID,SINGULARITY,Zero Point,"The lowest energy state, the origin of all oscillations.",0,,,,,,,,,,,,,,,,
0,POINT,ATOMIC,Activation Energy,The minimum thermal energy required to initiate a reaction/process.,1,,,,,,,,,,,,,,,,
1,BOT,PARTICLE,Elementary Particles,"The smallest indivisible units of matter, forming a code structure.","1,000",,,,,,,,,,,,,,,,
2,BOT,PARTICLE,Isotopic Variant,"Particles of the same type but with different masses, used to store values.","3,000",,,,,,,,,,,,,,,,
3,BOT,PARTICLE,Electron Orbital,The cyclical movement of particles around the nucleus.,"10,000",,,,,,,,,,,,,,,,
4,BOT,MOLECULAR,Crystal Lattice,The repetitive and stable arrangement of particles to store data.,"100,000",,,,,,,,,,,,,,,,
5,BOT,MOLECULAR,Covalent Bond,The law of particle sharing to create logical connections between entities.,"300,000",,,,,,,,,,,,,,,,
6,BOT,MOLECULAR,Convection Current,The transfer of energy and matter between the inner and outer environments.,"1,000,000",,,,,,,,,,,,,,,,
7,BOT,PLANETARY,Planetary Accretion,The accumulation of matter to form an independent entity.,"10,000,000",,,,,,,,,,,,,,,,
8,BOT,PLANETARY,Planetary Differentiation,"The layering of structures based on mass, inheriting properties from the core.","30,000,000",,,,,,,,,,,,,,,,
9,BOT,PLANETARY,Plate Tectonics,Parallel and independent movements beneath the surface of an entity.,"100,000,000",,,,,,,,,,,,,,,,
10,MID,STELLAR,Stellar Atmosphere,"The light shell surrounding a star, creating a virtual environment.","1,000,000,000",,,,,,,,,,,,,,,,
11,MID,STELLAR,Interstellar Nebula,Giant clouds of gas and dust containing widely dispersed data.,"3,000,000,000",,,,,,,,,,,,,,,,
12,MID,STELLAR,Stellar Nucleus,"The central energy processing unit, coordinating the entire star system.","10,000,000,000",,,,,,,,,,,,,,,,
13,MID,COSMIC,Gravity Well,"The warped region of space, determining access and influence.","100,000,000,000",,,,,,,,,,,,,,,,
14,MID,COSMIC,Nuclear Fusion,The core algorithm that most efficiently transforms the universe's energy.,"300,000,000,000",,,,,,,,,,,,,,,,
15,MID,COSMIC,Black Hole,"The region of infinite density, where all information is stored and cannot escape.","1,000,000,000,000",,,,,,,,,,,,,,,,
16,MID,ULTRAMICRO,Planck Scale,"The smallest limit of reality, where computer source code operates.","10,000,000,000,000",,,,,,,,,,,,,,,,
17,MID,ULTRAMICRO,Strong Force,"The extremely strong binding mechanism between particles, preventing data alteration.","30,000,000,000,000",,,,,,,,,,,,,,,,
18,MID,ULTRAMICRO,Quasar Core,"The macroscopic energy processor, emitting an extremely powerful stream of data.","100,000,000,000,000",,,,,,,,,,,,,,,,
19,TOP,GALACTIC,Matter Synthesis,"The process of ""translating"" pure energy into structured particles.","1,000,000,000,000,000",,,,,,,,,,,,,,,,
20,TOP,GALACTIC,Spacetime Fabric,The fundamental lattice that determines all the operating rules of the system.,"3,000,000,000,000,000",,,,,,,,,,,,,,,,
21,TOP,GALACTIC,Galactic Center,The ultimate origin point coordinating the orbits of all galaxies.,"10,000,000,000,000,000",,,,,,,,,,,,,,,,
22,TOP,UNIVERSAL,Quantum Entanglement,"The instantaneous, distanceless connection between two data entities.","100,000,000,000,000,000",,,,,,,,,,,,,,,,
23,TOP,UNIVERSAL,Entropy Gradient,The inevitable increase in chaos and error over time.,"300,000,000,000,000,000",,,,,,,,,,,,,,,,
24,TOP,UNIVERSAL,Cosmic String,The structural flaws from the early stages containing the original source code.,"1,000,000,000,000,000,000",,,,,,,,,,,,,,,,
25,TOP,TRANSCENDENT,Galaxy Merger,The merging and blending of large systems into a superstructure.,"10,000,000,000,000,000,000",,,,,,,,,,,,,,,,
26,TOP,TRANSCENDENT,Physical Constant,Invariant indicators ensure the structural integrity of reality does not collapse.,"30,000,000,000,000,000,000",,,,,,,,,,,,,,,,
27,TOP,TRANSCENDENT,Vacuum Energy,A hidden energy deep within space governs expansion.,"100,000,000,000,000,000,000",,,,,,,,,,,,,,,,
28,ABS,ABSOLUTE,Dark Matter,"A hidden component, occupying the majority of mass, controls the system from the shadows.",10^Inf,,,,,,,,,,,,,,,,
29,ABS,ABSOLUTE,Singlet State,"A self-balancing, non-interactive, anonymous quantum state.",Inf^Inf,,,,,,,,,,,,,,,,
30,ABS,ABSOLUTE,Absolute Zero,A state of perfect stillness where all code and oscillation cease.,NaN,,,,,,,,,,,,,,,,
