G,realm_1,stage_1,factorial_1,grid_desc,input_1,process_1,output_1,kpi_id,metric_name,target_value,method,category,factorial_2,factorial_3,factorial_4,factorial_5,realm_2,stage_2,input_2,input_3,output_2,factorial_6,factorial_7,factorial_8
header,Science,Ethereal Cryptic,Sea beast,"[mô tả, realm, stage, factorial, input, process, output]",$ Năng lực: a*10^B⋮3,,,,Trade/Invest Metric,KPI Target,KPI Method,,Financial,Hải thú,Hán việt,Hán,Giới,"Mờ ảo, huyền bí",Strategy,,,CRO Concept,Growth Hack,[Lead/Traffic]*[Conversion/Yield]
z,VOID,Mist Cloud Atmosphere,Sea Foam,"Net worth is zero or negative. Lacks investment capacity. Lacks financial literacy, relies on welfare or a low fixed salary. The biggest opportunity cost is missing out on an undervalued asset while capital is tied up elsewhere. Focus on determining the intrinsic value of a business based on cash flow and real assets, buying when the market price is significantly below its intrinsic value to create a sustainable margin of safety.",0,,,,Opportunity Cost,,,,Zero/Non-Capital,Bọt biển,Vô sản,无产,Hư,Sương khí quyển,Value Investing,,,Void Discovery,Discovery/Market Research,Unaware User. Interaction
0,POINT,Rainfall Dew,Plankton,"Start with minimal capital to experience the market. Know how to buy and sell commodities, and use basic stock/crypto trading. Entry speed is crucial at the beginning of a long-term holding cycle (a good entry determines the holding mindset). Long-term strategies are based on belief in economic growth, eliminating short-term disturbances to optimize taxes and transaction costs over many years.",1,,,,Market Entry Speed,,,,Micro Retailer,Phù du,Vy hình,微型,Phàm,Mây mưa sương,Buy and Hold,,,Initial Impulse,Hook/Headline Capture,Lead Magnet. First Click
1,BOT,River Shore,Shrimp,"Individual proprietary trading. Knows basic chart reading, prone to FOMO (fear of missing out). Signal accuracy is demonstrated through Japanese candlestick patterns. Use candlestick patterns like Hammer, Engulfing, or Doji to understand the psychology of buyers and sellers at key price reversal points.","1,000",,,,Signal Precision,,,,Small Retailer,Tôm tép,Tán hộ,散户,Hạ,Bờ sông,Candlestick Pattern Trading,,,Signal Ignition,Signal Standardization,Awareness. Low Intent
2,BOT,River Shore,Shellfish,"Manage capital at a low to medium level. Begin to develop skills. Have your own trading system and understand low-level risk management. Diversification is not just about buying many stocks, but about dividing capital into fixed proportions to manage overall risk. Determine trading volume based on a fixed percentage of total capital, ensuring the account is not wiped out during a losing streak.","3,000",,,,Portfolio Diversification,,,,Active Trader,Giáp xác,Hoạt dịch,活易,Hạ,Bờ sông,Fixed-Fractional Position Sizing,,,Intent Capture,Segmentation/Niche,Interest. Engagement
3,BOT,River Shore,Crab,Start to build a basic investment portfolio. Master technical and fundamental analysis. Optimize compound interest by continuously targeting price regressions to the average. Based on the assumption that prices always tend to return to historical averages after being excessively stretched by temporary fluctuations.,"10,000",,,,Compound Frequency,,,,Prosumer Investor,Cua ghẹ,Đầu tư,投资,Hạ,Bờ sông,Mean Reversion,,,Flow Alignment,Retention Automation,Consideration. Stability
4,BOT,River Shore,Fish,"Be able to handle financial leverage. Manage a multi-asset portfolio and know how to use derivatives. Use historical data to identify support/resistance zones – the ""sensitive"" points of the past. Identify past buy/sell order concentration zones to find entry points when the price touches or breaks through these psychological thresholds.","100,000",,,,Data Backtesting,,,,Affluent Investor,Cá con,Phú dụ,富裕,Hạ,Bờ sông,High Low Avg / Support and Resistance,,,Anchor Point,Data Anchoring,Desire. Optimization
5,BOT,River Shore,swordfish,"Start approaching trust funds. Leverage tax and corporate structure. Win rates are often verified through the crossover of indicators (e.g., MA20/MA50). Use the crossover of moving averages (MA) or momentum indicators like MACD to generate highly disciplined buy/sell signals.","300,000",,,,Win Rate,,,,High Net Worth (HNW),Cá kiếm,Cao tịnh,高净,Hạ,Bờ sông,Technical Indicator Crossover,,,Conversion Map,Logic Refutation,Solution Fit. Scalable Offer
6,BOT,River Shore,electric eel,"Become more influential within a small group. Achieve complete financial independence and have your own support team. Trading volume is the ""soul"" of tape reading. Monitor the tape and real-time trading volume to identify the entry of large institutions before price movements occur.","1,000,000",,,,Trade Volume,,,,Millionaire Tier,Cá chình điện,Phú ông,富翁,Hạ,Bờ sông,Tape Reading,,,Vital Engagement,Funnel Optimization,Trust Authority. Authority Sale
7,BOT,River Shore,Nautilus,"Capable of manipulating small-cap stocks. Acquiring businesses, manipulating the prices of mid-cap stocks. Allocating assets based on identifying large-scale chart patterns across different asset classes. Trading based on geometric structures such as Head and Shoulders, Pennant, or Double Bottom to predict the continuation or reversal of a trend.","10,000,000",,,,Asset Allocation,,,,Multi-Millionaire,Ốc anh vũ,Thiên vạn,千万,Hạ,Bờ sông,Chart Pattern Recognition,,,High-Value Seal,Value Alchemist,Market Segment. High Ticket Sale
