G,realm_1,stage_1,factorial_1,grid_desc,input_1,process_1,output_1,kpi_id,metric_name,target_value,method,category,factorial_2,factorial_3,factorial_4,factorial_5,realm_2,stage_2,factorial_6,factorial_7,factorial_8,factorial_9,factorial_10,factorial_11,factorial_12,factorial_13,stage_en,factorial_en
desc,Giới,Tầng,Giai Thừa,"[mô tả giới cảnh tầng giai thừa đoạn cấp, thọ nguyên tương đương]",💎energy: a*10^B⋮3,tiến giai (yr),Thọ nguyên,,(KPI) Metric Name,KPI Target,KPI Method,,2^5 Bit+x[0/1],Luyện tầng,Giai luyện,Thể chất,Cảnh,Tầng,Huyệt đạo,Độn Định Đạo,Ý Nghĩa Tu Chân & Triết Học. Phản biện Logic,Kiếm Pháp Logic (Sword Logic & Execution),Trận Pháp,Phù Văn,Phi lộ,Duy tinh,Stage,Factorial
z,Hư,Dẫn Khí,Tụ Nguyên,Khởi điểm,0,0,100,,,,,,00000x,Khai môn,Nhiệt Trấn,Đan Điền,Hỗn Độn Sơ Khai,Vô Pháp Vô Định,Khí Hải,Hư Khởi Bản,Từ hư vô tìm thấy điểm khởi đầu của bản nguyên. Có rỗng mới khởi được gốc bản.,"Điểm khởi đầu của kiếm ý, chưa có hình hài, chỉ là một khối ""quặng"" nguyên thủy.",Khai Văn,Vô Niệm,Khởi Nguyên,Vô Khởi Nguyên Nhiễm,Spirit Awakening,Origin Gathering
0,Phàm,Khai Linh,Thông Mạch,,1,0.1,100,,,,,,00001x,Khai môn,Cương Tuyến,Kinh mạch,Phàm Thế Nhập Môn,Ngưng Linh Đạo Chủng,Đại Chùy,Tịch Kích Quang,"Tĩnh tịch khởi động, ánh sáng chân linh lóe rạng. Từ tĩnh lặng khởi sinh hào quang.",Kích hoạt linh lực truyền vào kiếm. Tín hiệu đầu tiên thiết lập sự kết nối giữa người và vật.,Khai Văn,Khởi Ý,Sơ Kiến,Hư Vô Bản Tâm,Qi Leading,Meridian Opening
1,Hạ,Luyện Khí,Quy Tức,,"1,000",1,150,,,,,,00010x,Luyện hình,Thanh Phế,Phế nang,Khởi Nguyên Chân Linh,Kinh Lạc Chu Thiên,Trung Phủ,Mê Chuẩn Văn,"Thoát mê định hình, khắc họa linh văn cơ bản. Hết mê thì văn chương hiển lộ.","Học các bộ bộ pháp, đâm, chém đúng cú pháp. Sai một ly, kiếm chiêu tự vỡ.",LUYỆN PHÁP,Sơ Văn,Nhất Niệm,Tịch Kích Chân Quang,Qi Refining,Breath Returning
2,Hạ,Luyện Khí,Thối Thể,,"3,000",2,200,,,,,,00011x,Luyện hình,Hoán Nhục,Mô cơ,Khởi Nguyên Chân Linh,Kinh Lạc Chu Thiên,Thiên Khu,Tạp Phân Thể,"Tạp niệm phân loại, định hình linh thể chứa đựng. Phân rạch ròi thì thể trạng tịnh.","Cấp phát linh lực vào chiêu thức. Biến đổi độ dài, nặng, nhẹ của kiếm khí.",LUYỆN PHÁP,Linh Chú,Cộng Chấn,Đồng Thể Đại Bi,Qi Refining,Body Tempering
3,Hạ,Luyện Khí,Xung Tâm,,"10,000",3,300,,,,,,00100x,Luyện hình,Cường Tâm,Nhịp Tim,Khởi Nguyên Chân Linh,Kinh Lạc Chu Thiên,Đản Trung,Loạn Chuyển Mệnh,"Luân hồi xoay chuyển, nắm bắt mệnh lệnh vận hành. Chuyển động đúng tạo ra chân mệnh.",Vận hành kiếm chiêu thành vòng lặp không dứt. Xung nhịp tấn công liên tục (Combo).,LUYỆN PHÁP,Mạch Tuyến,Tâm Ngữ,Minh Ngôn Khai Huệ,Qi Refining,Heart Pulsing
4,Hạ,Trúc Cơ,Đúc Cốt,,"100,000",5,500,,,,,,00101x,Nội phủ,Thiết Khung,Khung xương,Khởi Nguyên Chân Linh,Ngọc Tủy Kết Ấn,Đại Trữ,Trệ Nhiếp Tàng,"Xua tan tạp chất, nhiếp phục linh khí vào kho tàng. Hết trệ thì kho tàng sung túc.","Khắc ghi cảm giác của kiếm vào tủy xương (Cache). Không bao giờ quên ""vị"" của chiêu thức.",ĐỊNH HÌNH,Tĩnh Điểm,Thâm Ý,Trình Tự Phân Giải,Foundation Establish,Bone Forging
5,Hạ,Trúc Cơ,Phủ tạng,,"300,000",8,800,,,,,,00110x,Nội phủ,Thanh Tạng,Gan tạng,Khởi Nguyên Chân Linh,Ngọc Tủy Kết Ấn,Chương Môn,Nghi Quyết Đoạn,"Nghi hoặc hóa giải, quyết đoán tại các cửa ải. Hết nghi thì tâm tính quyết đoạn.",Khả năng phân tích sơ hở đối thủ (If/Else). Quyết định thời điểm ra đòn chí mạng.,ĐỊNH HÌNH,Trận Đồ,Thủ Hộ,Thiết Giáp Tâm Phòng,Foundation Establish,Viscera Refining
6,Hạ,Trúc Cơ,Thông khiếu,,"1,000,000",12,"1,200",,,,,,00111x,Nội phủ,Hoán Khiếu,Cửu Khiếu,Khởi Nguyên Chân Linh,Ngọc Tủy Kết Ấn,Trung Quản,Bế Thông Lưu,Phá bế quan để thông suốt dòng chảy nội ngoại. Cửa đóng thì phải thông linh khiếu.,"Giao thoa kiếm khí với môi trường. Thu nhận năng lượng trời đất, xuất ra sát chiêu.",ĐỊNH HÌNH,Khơi Linh,Tương Thông,Thông Đạo Cứu Khổ,Foundation Establish,Aperture Opening
7,Hạ,Kim Đan,Ngưng Tinh,,"10,000,000",25,"3,000",,,,,,01000x,Tạo hóa,Trọng Tinh,Tinh Đản,Khởi Nguyên Chân Linh,Thân Tượng Hóa Nguyên,Quan Nguyên,Cô Hợp Tượng,Thoát cô độc để hợp nhất thành vạn vật vạn tượng. Hết cô độc thì vạn tượng sinh.,"Đóng gói toàn bộ tu vi vào một thanh ""Bản Mệnh Kiếm"" cụ thể.",CHỈNH TẠI,Phù Chú,Bao Dung,Hợp Nhất Linh Đài,Golden Core,Essence Condensation
